ArrivedTime,ExecutionTime(ms),,,,,,,,,,,
10/06/2020 15:23:17.681 ,0,,,,,,,,,,,
10/06/2020 15:21:55.366 ,79,,,,,,,,,,,
10/06/2020 15:23:20.896 ,0,,,,,,,,,,,
10/06/2020 15:23:16.048 ,0,,,,,,,,,,,
10/06/2020 15:23:40.208 ,0,,,,,,,,,,,
10/06/2020 15:22:48.366 ,5,,,,,,,,,,,
10/06/2020 15:22:45.776 ,20,,,,,,,,,,,
10/06/2020 15:22:38.161 ,20,,,,,,,,,,,
10/06/2020 15:23:04.819 ,22,,,,,,,,,,,
10/06/2020 15:23:22.917 ,20,,,,,,,,,,,
10/06/2020 15:23:06.195 ,25,,,,,,,,,,,
10/06/2020 15:23:08.500 ,21,,,,,,,,,,,
10/06/2020 15:23:44.575 ,0,,,,,,,,,,,
10/06/2020 15:23:18.766 ,21,,,,,,,,,,,
10/06/2020 15:22:24.133 ,20,,,,,,,,,,,
10/06/2020 15:22:40.098 ,21,,,,,,,,,,,
10/06/2020 15:22:33.391 ,18,,,,,,,,,,,
10/06/2020 15:23:19.706 ,0,,,,,,,,,,,
10/06/2020 14:18:04.716 ,0,,,,,,,,,,,
10/06/2020 14:16:56.019 ,22,,,,,,,,,,,
10/06/2020 14:17:46.712 ,0,,,,,,,,,,,
10/06/2020 14:17:37.439 ,1,,,,,,,,,,,
10/06/2020 14:16:50.366 ,62,,,,,,,,,,,
10/06/2020 14:17:11.134 ,0,,,,,,,,,,,
10/06/2020 14:17:38.565 ,0,,,,,,,,,,,
10/06/2020 14:17:02.585 ,22,,,,,,,,,,,
10/06/2020 14:17:20.643 ,0,,,,,,,,,,,
10/06/2020 14:17:26.368 ,0,,,,,,,,,,,
10/06/2020 14:16:57.727 ,42,,,,,,,,,,,
10/06/2020 14:17:30.863 ,22,,,,,,,,,,,
10/06/2020 14:17:31.169 ,22,,,,,,,,,,,
10/06/2020 14:17:45.610 ,2,,,,,,,,,,,
10/06/2020 14:18:14.867 ,0,,,,,,,,,,,
10/06/2020 14:17:11.471 ,22,,,,,,,,,,,
10/06/2020 14:17:09.549 ,21,,,,,,,,,,,
10/06/2020 14:17:59.929 ,0,,,,,,,,,,,
10/06/2020 14:17:29.984 ,0,,,,,,,,,,,
10/06/2020 14:18:14.507 ,0,,,,,,,,,,,
10/06/2020 14:17:29.565 ,4,,,,,,,,,,,
